date,state_name,vegetable_name,wholesale_price,retail_price,shoping_mall_price,unit,image
2024-05-03,maharashtra,Baby Corn,46,53 - 58,55 - 76,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-03,maharashtra,Banana Flower,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-03,maharashtra,Capsicum,46,53 - 58,55 - 76,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-03,maharashtra,Bitter Gourd,31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-03,maharashtra,Bottle Gourd,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-03,maharashtra,Butter Beans,50,58 - 64,60 - 83,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-03,maharashtra,Broad Beans,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-03,maharashtra,Cabbage,20,23 - 25,24 - 33,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-03,maharashtra,Carrot,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-03,maharashtra,Cauliflower,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-03,maharashtra,Cluster beans,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-03,maharashtra,Coconut,35,40 - 44,42 - 58,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-03,maharashtra,Colocasia Leaves,14,16 - 18,17 - 23,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-03,maharashtra,Colocasia,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-03,maharashtra,Coriander Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-03,maharashtra,Corn,28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-03,maharashtra,Cucumber,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-03,maharashtra,Curry Leaves,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-03,maharashtra,Dill Leaves,14,16 - 18,17 - 23,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-03,maharashtra,Drumsticks,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-03,maharashtra,Brinjal,22,25 - 28,26 - 36,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-03,maharashtra,Brinjal (Big),25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
