date,state_name,vegetable_name,wholesale_price,retail_price,shoping_mall_price,unit,image
2024-05-26,maharashtra,Coconut,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-26,maharashtra,Colocasia Leaves,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-26,maharashtra,Colocasia,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-26,maharashtra,Coriander Leaves,6,7 - 8,7 - 10,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-26,maharashtra,Corn,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-26,maharashtra,Cucumber,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-26,maharashtra,Curry Leaves,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-26,maharashtra,Dill Leaves,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-26,maharashtra,Drumsticks,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-26,maharashtra,Brinjal,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-26,maharashtra,Brinjal (Big),30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-26,maharashtra,Elephant Yam,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-26,maharashtra,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-26,maharashtra,French Beans,172,198 - 218,206 - 284,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-26,maharashtra,Garlic,277,319 - 352,332 - 457,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-26,maharashtra,Ginger,136,156 - 173,163 - 224,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-26,maharashtra,Onion Green,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-26,maharashtra,Green Peas,45,52 - 57,54 - 74,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-26,maharashtra,Ivy Gourd,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-26,maharashtra,Lemon (Lime),108,124 - 137,130 - 178,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-26,maharashtra,Mango Raw,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-26,maharashtra,Mint Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-26,maharashtra,Mushroom,87,100 - 110,104 - 144,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-26,maharashtra,Mustard Leaves,17,20 - 22,20 - 28,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-26,maharashtra,Ladies Finger,48,55 - 61,58 - 79,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-26,maharashtra,Pumpkin,17,20 - 22,20 - 28,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-26,maharashtra,Radish,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-26,maharashtra,Ridge Gourd,31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-26,maharashtra,Shallot (Pearl Onion),31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-26,maharashtra,Snake Gourd,39,45 - 50,47 - 64,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-26,maharashtra,Sorrel Leaves,17,20 - 22,20 - 28,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-26,maharashtra,Spinach,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-26,maharashtra,Sweet Potato,39,45 - 50,47 - 64,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-27,maharashtra,Onion Big,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-27,maharashtra,Onion Small,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-27,maharashtra,Tomato,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-27,maharashtra,Green Chilli,67,77 - 85,80 - 111,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-27,maharashtra,Beetroot,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
2024-05-27,maharashtra,Potato,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/potato-64.png
2024-05-27,maharashtra,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-27,maharashtra,Amaranth Leaves,11,13 - 14,13 - 18,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-27,maharashtra,Amla,65,75 - 83,78 - 107,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-27,maharashtra,Ash gourd,22,25 - 28,26 - 36,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-27,maharashtra,Baby Corn,53,61 - 67,64 - 87,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-27,maharashtra,Banana Flower,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-27,maharashtra,Capsicum,50,58 - 64,60 - 83,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-27,maharashtra,Bitter Gourd,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-27,maharashtra,Bottle Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-27,maharashtra,Butter Beans,53,61 - 67,64 - 87,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-27,maharashtra,Broad Beans,70,81 - 89,84 - 116,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-27,maharashtra,Cabbage,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-27,maharashtra,Carrot,41,47 - 52,49 - 68,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-27,maharashtra,Cauliflower,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-27,maharashtra,Cluster beans,42,48 - 53,50 - 69,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-27,maharashtra,Coconut,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-27,maharashtra,Colocasia Leaves,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-27,maharashtra,Colocasia,28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-27,maharashtra,Coriander Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-27,maharashtra,Corn,35,40 - 44,42 - 58,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-27,maharashtra,Cucumber,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-27,maharashtra,Curry Leaves,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-27,maharashtra,Dill Leaves,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-27,maharashtra,Drumsticks,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-27,maharashtra,Brinjal,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-27,maharashtra,Brinjal (Big),32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-27,maharashtra,Elephant Yam,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-27,maharashtra,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-27,maharashtra,French Beans,165,190 - 210,198 - 272,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-27,maharashtra,Garlic,261,300 - 331,313 - 431,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-27,maharashtra,Ginger,132,152 - 168,158 - 218,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-27,maharashtra,Onion Green,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-27,maharashtra,Green Peas,44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-27,maharashtra,Ivy Gourd,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-27,maharashtra,Lemon (Lime),91,105 - 116,109 - 150,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-27,maharashtra,Mango Raw,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-27,maharashtra,Mint Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-27,maharashtra,Mushroom,88,101 - 112,106 - 145,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-27,maharashtra,Mustard Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-27,maharashtra,Ladies Finger,46,53 - 58,55 - 76,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-27,maharashtra,Pumpkin,19,22 - 24,23 - 31,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-27,maharashtra,Radish,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-27,maharashtra,Ridge Gourd,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-27,maharashtra,Shallot (Pearl Onion),31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-27,maharashtra,Snake Gourd,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-27,maharashtra,Sorrel Leaves,14,16 - 18,17 - 23,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-27,maharashtra,Spinach,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-27,maharashtra,Sweet Potato,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-28,maharashtra,Onion Big,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-28,maharashtra,Onion Small,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-28,maharashtra,Tomato,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-28,maharashtra,Green Chilli,67,77 - 85,80 - 111,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-28,maharashtra,Beetroot,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
2024-05-28,maharashtra,Potato,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/potato-64.png
2024-05-28,maharashtra,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-28,maharashtra,Amaranth Leaves,11,13 - 14,13 - 18,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-28,maharashtra,Amla,65,75 - 83,78 - 107,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-28,maharashtra,Ash gourd,22,25 - 28,26 - 36,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-28,maharashtra,Baby Corn,53,61 - 67,64 - 87,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-28,maharashtra,Banana Flower,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-28,maharashtra,Capsicum,50,58 - 64,60 - 83,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-28,maharashtra,Bitter Gourd,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-28,maharashtra,Bottle Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-28,maharashtra,Butter Beans,53,61 - 67,64 - 87,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-28,maharashtra,Broad Beans,70,81 - 89,84 - 116,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-28,maharashtra,Cabbage,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-28,maharashtra,Carrot,41,47 - 52,49 - 68,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-28,maharashtra,Cauliflower,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-28,maharashtra,Cluster beans,42,48 - 53,50 - 69,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-28,maharashtra,Coconut,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-28,maharashtra,Colocasia Leaves,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-28,maharashtra,Colocasia,28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-28,maharashtra,Coriander Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-28,maharashtra,Corn,35,40 - 44,42 - 58,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-28,maharashtra,Cucumber,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-28,maharashtra,Curry Leaves,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-28,maharashtra,Dill Leaves,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-28,maharashtra,Drumsticks,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-28,maharashtra,Brinjal,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-28,maharashtra,Brinjal (Big),32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-28,maharashtra,Elephant Yam,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-28,maharashtra,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-28,maharashtra,French Beans,165,190 - 210,198 - 272,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-28,maharashtra,Garlic,261,300 - 331,313 - 431,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-28,maharashtra,Ginger,132,152 - 168,158 - 218,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-28,maharashtra,Onion Green,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-28,maharashtra,Green Peas,44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-28,maharashtra,Ivy Gourd,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-28,maharashtra,Lemon (Lime),91,105 - 116,109 - 150,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-28,maharashtra,Mango Raw,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-28,maharashtra,Mint Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-28,maharashtra,Mushroom,88,101 - 112,106 - 145,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-28,maharashtra,Mustard Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-28,maharashtra,Ladies Finger,46,53 - 58,55 - 76,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-28,maharashtra,Pumpkin,19,22 - 24,23 - 31,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-28,maharashtra,Radish,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-28,maharashtra,Ridge Gourd,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-28,maharashtra,Shallot (Pearl Onion),31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-28,maharashtra,Snake Gourd,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-28,maharashtra,Sorrel Leaves,14,16 - 18,17 - 23,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-28,maharashtra,Spinach,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-28,maharashtra,Sweet Potato,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-29,maharashtra,Onion Big,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-29,maharashtra,Onion Small,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-29,maharashtra,Tomato,23,26 - 29,28 - 38,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-29,maharashtra,Green Chilli,69,79 - 88,83 - 114,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-29,maharashtra,Beetroot,37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
2024-05-29,maharashtra,Potato,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/potato-64.png
2024-05-29,maharashtra,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-29,maharashtra,Amaranth Leaves,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-29,maharashtra,Amla,65,75 - 83,78 - 107,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-29,maharashtra,Ash gourd,17,20 - 22,20 - 28,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-29,maharashtra,Baby Corn,46,53 - 58,55 - 76,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-29,maharashtra,Banana Flower,18,21 - 23,22 - 30,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-29,maharashtra,Capsicum,48,55 - 61,58 - 79,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-29,maharashtra,Bitter Gourd,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-29,maharashtra,Bottle Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-29,maharashtra,Butter Beans,51,59 - 65,61 - 84,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-29,maharashtra,Broad Beans,68,78 - 86,82 - 112,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-29,maharashtra,Cabbage,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-29,maharashtra,Carrot,44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-29,maharashtra,Cauliflower,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-29,maharashtra,Cluster beans,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-29,maharashtra,Coconut,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-29,maharashtra,Colocasia Leaves,17,20 - 22,20 - 28,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-29,maharashtra,Colocasia,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-29,maharashtra,Coriander Leaves,9,10 - 11,11 - 15,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-29,maharashtra,Corn,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-29,maharashtra,Cucumber,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-29,maharashtra,Curry Leaves,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-29,maharashtra,Dill Leaves,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-29,maharashtra,Drumsticks,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-29,maharashtra,Brinjal,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-29,maharashtra,Brinjal (Big),30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-29,maharashtra,Elephant Yam,35,40 - 44,42 - 58,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-29,maharashtra,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-29,maharashtra,French Beans,185,213 - 235,222 - 305,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-29,maharashtra,Garlic,264,304 - 335,317 - 436,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-29,maharashtra,Ginger,125,144 - 159,150 - 206,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-29,maharashtra,Onion Green,45,52 - 57,54 - 74,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-29,maharashtra,Green Peas,50,58 - 64,60 - 83,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-29,maharashtra,Ivy Gourd,28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-29,maharashtra,Lemon (Lime),94,108 - 119,113 - 155,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-29,maharashtra,Mango Raw,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-29,maharashtra,Mint Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-29,maharashtra,Mushroom,85,98 - 108,102 - 140,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-29,maharashtra,Mustard Leaves,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-29,maharashtra,Ladies Finger,42,48 - 53,50 - 69,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-29,maharashtra,Pumpkin,17,20 - 22,20 - 28,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-29,maharashtra,Radish,35,40 - 44,42 - 58,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-29,maharashtra,Ridge Gourd,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-29,maharashtra,Shallot (Pearl Onion),35,40 - 44,42 - 58,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-29,maharashtra,Snake Gourd,39,45 - 50,47 - 64,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-29,maharashtra,Sorrel Leaves,11,13 - 14,13 - 18,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-29,maharashtra,Spinach,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
